,year,week,total_score,temperature,home_team,home_score,away_team,away_score,wind,wind_dir
0,2019,1,13,65,Bears,3,Packers,10,7,ESE
1,2019,2,34,86,Panthers,14,Buccaneers,20,1,SE
2,2019,3,27,73,Jaguars,20,Titans,7,7,NE
3,2019,4,61,60,Packers,27,Eagles,34,2,S
4,2019,5,59,55,Seahawks,30,Rams,29,5,S
5,2019,6,49,54,Patriots,35,Giants,14,9,NNE
6,2019,7,36,72,Broncos,6,Chiefs,30,5,NNW
7,2019,8,28,70,Vikings,19,Washington,9,,SSE
8,2019,9,53,70,Cardinals,25,49ers,28,2,E
9,2019,10,50,57,Raiders,26,Chargers,24,7,WNW
10,2019,11,28,37,Browns,21,Steelers,7,6,WSW
11,2019,12,37,74,Texans,20,Colts,17,9,SE
12,2019,13,44,70,Lions,20,Bears,24,8,NNW
13,2019,14,55,40,Bears,31,Cowboys,24,8,S
14,2019,15,63,33,Ravens,42,Jets,21,3,SE
15,2019,16,43,73,Buccaneers,20,Texans,23,12,E
16,2019,17,19,39,Bills,6,Jets,13,8,SE
17,2018,1,30,81,Eagles,18,Falcons,12,2,NW
18,2018,2,57,75,Bengals,34,Ravens,23,,NNW
19,2018,3,38,78,Browns,21,Jets,17,3,SSE
20,2018,4,69,83,Rams,38,Vikings,31,3,WSW
21,2018,5,62,66,Patriots,38,Colts,24,3,SW
22,2018,6,47,70,Giants,13,Eagles,34,1,S
23,2018,7,55,70,Cardinals,10,Broncos,45,1,WNW
24,2018,8,65,65,Texans,42,Dolphins,23,6,NNW
25,2018,9,37,80,49ers,34,Raiders,3,3,NNW
26,2018,10,73,40,Steelers,52,Panthers,21,1,NE
27,2018,11,51,54,Seahawks,27,Packers,24,3,S
28,2018,12,39,70,Lions,16,Bears,23,9,E
29,2018,13,23,73,Cowboys,13,Saints,10,7,SSE
30,2018,14,39,44,Titans,30,Jaguars,9,4,SW
31,2018,15,57,37,Chiefs,28,Chargers,29,8,NNW
32,2018,16,41,50,Titans,25,Washington,16,7,S
33,2018,17,59,28,Bills,42,Dolphins,17,7,WSW
34,2017,1,69,62,Patriots,27,Chiefs,42,1,WSW
35,2017,2,22,67,Bengals,9,Texans,13,,SE
36,2017,3,80,65,49ers,39,Rams,41,5,W
37,2017,4,49,64,Packers,35,Bears,14,4,SW
38,2017,5,33,77,Buccaneers,14,Patriots,19,4,ENE
39,2017,6,51,73,Panthers,23,Eagles,28,5,ENE
40,2017,7,61,61,Raiders,31,Chiefs,30,4,SW
41,2017,8,40,48,Ravens,40,Dolphins,0,,W
42,2017,9,55,64,Jets,34,Bills,21,2,S
43,2017,10,38,70,Cardinals,16,Seahawks,22,1,WSW
44,2017,11,57,37,Steelers,40,Titans,17,2,W
45,2017,12,53,70,Lions,23,Vikings,30,7,SW
46,2017,13,52,58,Cowboys,38,Washington,14,,NNE
47,2017,14,37,70,Falcons,20,Saints,17,1,WNW
48,2017,15,38,70,Colts,13,Broncos,25,,SSE
49,2017,16,39,61,Ravens,23,Colts,16,5,SSW
50,2017,17,52,9,Steelers,28,Browns,24,,WSW
51,2016,1,41,82,Broncos,21,Panthers,20,2,SSE
52,2016,2,68,54,Bills,31,Jets,37,2,NE
